epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0863,1.4367,2.86474,0.91737,0.22,1,0.83888,0.48093,0.98098,2.41391,0.84489,0.00066,0.00066,0.00066
2,27.1006,1.18297,1.68643,0.85948,0.99696,0.99294,0.99498,0.76714,0.95504,0.77383,0.83868,0.00131353,0.00131353,0.00131353
3,38.7779,1.30297,1.04559,0.85271,0.99646,0.99848,0.995,0.76993,0.96156,0.73855,0.845,0.00195387,0.00195387,0.00195387
4,50.6875,1.2579,0.90487,0.85672,0.99698,0.99957,0.99491,0.78689,0.88622,0.70695,0.83269,0.0019406,0.0019406,0.0019406
5,62.658,1.16756,0.81248,0.8472,0.99682,1,0.99462,0.78399,0.8796,0.7056,0.8328,0.0019208,0.0019208,0.0019208
6,74.835,1.13897,0.80765,0.83798,0.99247,0.99888,0.99463,0.81575,0.80796,0.63097,0.82624,0.001901,0.001901,0.001901
7,86.8872,1.09669,0.76756,0.84371,0.99547,0.99936,0.99482,0.81548,0.79756,0.58884,0.82633,0.0018812,0.0018812,0.0018812
8,98.8796,1.03336,0.69466,0.83354,0.99376,0.99848,0.99488,0.79629,0.82808,0.56203,0.83103,0.0018614,0.0018614,0.0018614
9,111.063,1.06188,0.68234,0.83402,0.99532,0.99848,0.9947,0.80716,0.81704,0.54616,0.82718,0.0018416,0.0018416,0.0018416
10,123.26,0.98782,0.64523,0.83437,0.99411,0.99697,0.99466,0.82423,0.74186,0.50976,0.82225,0.0018218,0.0018218,0.0018218
11,135.533,0.96692,0.62546,0.83108,0.99492,0.99848,0.99489,0.77561,0.90443,0.52915,0.83715,0.001802,0.001802,0.001802
12,147.85,0.96332,0.6068,0.83003,0.99098,0.99893,0.99491,0.82993,0.7384,0.51682,0.82331,0.0017822,0.0017822,0.0017822
13,160.187,0.97103,0.59252,0.82655,0.99199,0.99697,0.99486,0.82932,0.72934,0.49912,0.82131,0.0017624,0.0017624,0.0017624
14,172.7,0.95218,0.5907,0.82698,0.99379,0.99394,0.99491,0.81321,0.76457,0.4901,0.82427,0.0017426,0.0017426,0.0017426
15,185.079,0.87742,0.56243,0.82116,0.99333,0.99848,0.99492,0.83455,0.71871,0.47064,0.81852,0.0017228,0.0017228,0.0017228
16,197.473,0.878,0.54435,0.81938,0.99348,1,0.99498,0.83436,0.69794,0.472,0.81654,0.001703,0.001703,0.001703
17,210.093,0.90083,0.54481,0.82162,0.99425,0.99848,0.99494,0.83863,0.69426,0.45529,0.81732,0.0016832,0.0016832,0.0016832
18,222.697,0.88053,0.52424,0.81785,0.99546,0.99743,0.99495,0.8321,0.71105,0.46058,0.81878,0.0016634,0.0016634,0.0016634
19,235.175,0.83352,0.5014,0.81547,0.99262,0.99697,0.99491,0.83332,0.70361,0.45679,0.81741,0.0016436,0.0016436,0.0016436
20,247.579,0.85847,0.50422,0.81545,0.99021,0.99848,0.9948,0.82616,0.71754,0.44366,0.81738,0.0016238,0.0016238,0.0016238
21,260.128,0.89193,0.51612,0.81978,0.99697,0.99789,0.99497,0.82022,0.74586,0.47349,0.81972,0.001604,0.001604,0.001604
22,272.571,0.93374,0.5324,0.82396,0.99241,1,0.995,0.79589,0.82894,0.5048,0.82767,0.0015842,0.0015842,0.0015842
23,285.072,0.89379,0.51208,0.81845,0.99547,0.99887,0.99498,0.82753,0.70621,0.47771,0.81822,0.0015644,0.0015644,0.0015644
24,297.482,0.84358,0.4866,0.81677,0.99397,0.99833,0.99491,0.82899,0.71665,0.43929,0.81746,0.0015446,0.0015446,0.0015446
